dataset,accuracy,precision,recall,f1,roc_auc,pr_auc
clean,0.538006652704201,0.8518518518518519,0.4851390220517737,0.6182040317654246,0.6216021115349974,0.8628392308018189
lowercase,0.538006652704201,0.8518518518518519,0.4851390220517737,0.6182040317654246,0.6216021115349974,0.8628392308018189
no_punctuation,0.5662190464457312,0.8353344768439108,0.5447427293064877,0.6594448205822614,0.6190670454996733,0.8595937368002063
lowercase_no_punctuation,0.5662190464457312,0.8353344768439108,0.5447427293064877,0.6594448205822614,0.6190670454996733,0.8595937368002063
